publish_datetime,publish_date,stock_code,company_name,title,pdf_url,has_xbrl,notes,language,sector,listed_exchange,xbrl_url
2026-01-30 15:30:00,2026-01-30,62220,島精機,通期業績予想の修正および投資有価証券売却に伴う特別利益の計上見込みに関するお知らせ,https://www.release.tdnet.info/inbs/140120260130542887.pdf,True,,japanese,,東,https://www.release.tdnet.info/inbs/091220260130542887.zip
2026-01-30 15:30:00,2026-01-30,62280,ジェイ・イー・ティ,2025年12月期通期連結業績予想の修正に関するお知らせ,https://www.release.tdnet.info/inbs/140120260123537461.pdf,True,,japanese,,東,https://www.release.tdnet.info/inbs/091220260123537461.zip
2026-01-30 15:30:00,2026-01-30,62930,日精樹脂,臨時株主総会の決議結果に関するお知らせ,https://www.release.tdnet.info/inbs/140120260128540036.pdf,False,,japanese,,東名,
2026-01-30 15:30:00,2026-01-30,64540,マックス,株式分割及び株式分割に伴う定款の一部変更に関するお知らせ,https://www.release.tdnet.info/inbs/140120260128540671.pdf,False,,japanese,,東,
2026-01-30 15:30:00,2026-01-30,64540,マックス,2026年3月期 第3四半期決算短信〔日本基準〕（連結）,https://www.release.tdnet.info/inbs/140120260129541619.pdf,True,,japanese,,東,https://www.release.tdnet.info/inbs/081220260129541619.zip
2026-01-30 15:30:00,2026-01-30,64540,マックス,2026年3月期 第3四半期決算補足説明資料,https://www.release.tdnet.info/inbs/140120260129541646.pdf,False,,japanese,,東,
2026-01-30 15:30:00,2026-01-30,64540,マックス,2026年3月期 第3四半期決算説明会資料,https://www.release.tdnet.info/inbs/140120260129541653.pdf,False,,japanese,,東,
2026-01-30 15:30:00,2026-01-30,64550,モリタＨＤ,2026年３月期　第３四半期決算短信〔日本基準〕（連結）,https://www.release.tdnet.info/inbs/140120260128539866.pdf,True,,japanese,,東,https://www.release.tdnet.info/inbs/081220260128539866.zip
2026-01-30 15:30:00,2026-01-30,64550,モリタＨＤ,従業員持株会向け譲渡制限付株式インセンティブとしての自己株式の処分に関するお知らせ,https://www.release.tdnet.info/inbs/140120260128539691.pdf,False,,japanese,,東,
2026-01-30 15:30:00,2026-01-30,64550,モリタＨＤ,自己株式の消却に関するお知らせ,https://www.release.tdnet.info/inbs/140120260128539893.pdf,False,,japanese,,東,
2026-01-30 15:30:00,2026-01-30,65080,明電舎,2026年３月期第３四半期決算短信〔日本基準〕(連結),https://www.release.tdnet.info/inbs/140120260129542260.pdf,True,,japanese,,東名,https://www.release.tdnet.info/inbs/081220260129542260.zip
2026-01-30 15:30:00,2026-01-30,65080,明電舎,2026年３月期 第３四半期決算補足資料,https://www.release.tdnet.info/inbs/140120260129542276.pdf,False,,japanese,,東名,
2026-01-30 15:30:00,2026-01-30,65260,ソシオネクスト,2026年３月期  第３四半期決算短信〔日本基準〕（連結）,https://www.release.tdnet.info/inbs/140120260130542491.pdf,True,,japanese,,東,https://www.release.tdnet.info/inbs/081220260130542491.zip
2026-01-30 15:30:00,2026-01-30,65430,日宣,連結子会社の異動（株式譲渡）に関する基本合意書締結のお知らせ,https://www.release.tdnet.info/inbs/140120260130542888.pdf,False,,japanese,,東,
2026-01-30 15:30:00,2026-01-30,65630,Ｇ－みらいワークス,（訂正）「業績連動型株式報酬としての自己株式の処分に関するお知らせ」の一部訂正について,https://www.release.tdnet.info/inbs/140120260130543532.pdf,False,,japanese,,東,
2026-01-30 15:30:00,2026-01-30,65650,ＡＢホテル,2026年３月期 第３四半期決算短信〔日本基準〕（非連結）,https://www.release.tdnet.info/inbs/140120260127539192.pdf,True,,japanese,,東名,https://www.release.tdnet.info/inbs/081220260127539192.zip
2026-01-30 15:30:00,2026-01-30,66630,太洋テクノレックス,2025年12月期決算短信〔日本基準〕（連結）,https://www.release.tdnet.info/inbs/140120260115534361.pdf,True,,japanese,,東,https://www.release.tdnet.info/inbs/081220260115534361.zip
2026-01-30 15:30:00,2026-01-30,66630,太洋テクノレックス,上場維持基準への適合に関するお知らせ,https://www.release.tdnet.info/inbs/140120260128540679.pdf,False,,japanese,,東,
2026-01-30 15:30:00,2026-01-30,67270,ワコム,株式会社リクロスエクスパンションの株式の取得（子会社化）及びそれに伴う新たな事業の開始に関するお知らせ,https://www.release.tdnet.info/inbs/140120260116534948.pdf,False,,japanese,,東,
2026-01-30 15:30:00,2026-01-30,67270,ワコム,公認会計士等の異動に関するお知らせ,https://www.release.tdnet.info/inbs/140120251224525249.pdf,False,,japanese,,東,
2026-01-30 15:30:00,2026-01-30,67270,ワコム,2026年３月期 第３四半期決算短信〔日本基準〕（連結）,https://www.release.tdnet.info/inbs/140120260116534938.pdf,True,,japanese,,東,https://www.release.tdnet.info/inbs/081220260116534938.zip
2026-01-30 15:30:00,2026-01-30,67270,ワコム,2026年３月期通期連結業績予想の修正（利益上方修正）、及び期末配当予想の修正（増配及び記念配当）に関するお知らせ,https://www.release.tdnet.info/inbs/140120260116534856.pdf,False,,japanese,,東,
2026-01-30 15:30:00,2026-01-30,67700,アルプスアルパイン,2026年３月期第３四半期決算短信〔日本基準〕（連結）,https://www.release.tdnet.info/inbs/140120260126538538.pdf,True,,japanese,,東,https://www.release.tdnet.info/inbs/081220260126538538.zip
2026-01-30 15:30:00,2026-01-30,67700,アルプスアルパイン,2026年３月期通期連結業績予想の修正及び配当予想の修正に関するお知らせ,https://www.release.tdnet.info/inbs/140120260130543023.pdf,False,,japanese,,東,
2026-01-30 15:30:00,2026-01-30,68100,マクセル,2026年３月期第３四半期決算短信[日本基準](連結),https://www.release.tdnet.info/inbs/140120260127539164.pdf,True,,japanese,,東,https://www.release.tdnet.info/inbs/081220260127539164.zip
2026-01-30 15:30:00,2026-01-30,68100,マクセル,完全子会社への会社分割（簡易吸収分割）による事業承継に関するお知らせ,https://www.release.tdnet.info/inbs/140120260127539442.pdf,False,,japanese,,東,
2026-01-30 15:30:00,2026-01-30,68820,三社電機製作所,2026年３月期　第３四半期決算短信〔日本基準〕（連結）,https://www.release.tdnet.info/inbs/140120260129542099.pdf,True,,japanese,,東,https://www.release.tdnet.info/inbs/081220260129542099.zip
2026-01-30 15:30:00,2026-01-30,68820,三社電機製作所,2026年３月期 第３四半期 決算説明資料,https://www.release.tdnet.info/inbs/140120260130542766.pdf,False,,japanese,,東,
2026-01-30 15:30:00,2026-01-30,69610,エンプラス,2026年3月期 第3四半期決算短信〔日本基準〕(連結),https://www.release.tdnet.info/inbs/140120260130543309.pdf,True,,japanese,,東,https://www.release.tdnet.info/inbs/081220260130543309.zip
2026-01-30 15:30:00,2026-01-30,69610,エンプラス,通期業績予想の修正に関するお知らせ,https://www.release.tdnet.info/inbs/140120260130542437.pdf,False,,japanese,,東,
2026-01-30 15:30:00,2026-01-30,70460,Ｇ－ＴＤＳＥ,2026年３月期 第３四半期決算短信〔日本基準〕（非連結）,https://www.release.tdnet.info/inbs/140120260130543021.pdf,True,,japanese,,東,https://www.release.tdnet.info/inbs/081220260130543021.zip
